"","x"
"9866186",1
"53325874",2
"1714884",1
"2130404",2
"2126",2
"25022340",2
"11955716",2
"11175137",2
"56973724",2
"16659841",2
"51039095",2
"44137675",2
"16741245",2
"11152667",2
"25262965",2
"5738263",2
"11364421",2
"53440640",2
"156422",2
"25150857",2
"445091",2
"445455",2
"9813758",2
"135440466",2
"24785538",2
"137699558",2
"76446078",2
"56646779",2
"68056272",2
"124202324",2
"44484893",2
"73755588",2
"44486219",2
"54639126",2
"44487872",2
"123894352",2
"44493952",2
"54639701",2
"89183176",2
"54618164",2
"54618305",2
"44498493",2
"54639665",2
"44491742",2
"71466380",2
"613753",2
"54618359",2
"44505237",2
"55508",2
"44494015",2
"44486093",2
"11257553",2
"44495899",2
"54618795",2
"60168763",2
"139031980",2
"89928392",2
"44484440",2
"44620216",2
"44490293",2
"54619267",2
"54596558",2
"44487330",2
"1716436",2
"44489367",2
"1474550",2
"2763819",2
"54638372",2
"54649381",2
"71680916",2
"54596490",2
"44493528",2
"75036740",2
"44507138",2
"67291369",2
"73758006",2
"44202524",2
"71466445",2
"246676",2
"44489127",2
"44492757",2
"71466578",2
"44494148",2
"54649500",2
"70680404",2
"2945648",2
"54639024",2
"54619238",2
"71576739",2
"71576742",2
"54626689",2
"7326481",2
"1641662",2
"75988935",2
"53245473",2
"1242560",2
"613000",2
"56649450",2
"11625818",2
"11626927",2
"25105715",2
"44819697",2
"72199289",2
"3634881",2
"9952709",1
"135411",1
"9956119",2
"375860",2
"122327",1
"5951923",2
"2841722",2
"6623618",2
"654092",2
"3815108",2
"54678924",2
"70684233",2
"56946209",2
"6184667",1
"44197249",2
"44185566",1
"44589607",2
"75053879",2
"676352",2
"20959075",2
"72199292",2
"5113032",2
"132496",2
"656346",2
"56963564",2
"45100309",2
"4684074",2
"421610",2
"11717001",2
"25093303",2
"57519545",2
"17755052",2
"148198",2
"448949",2
"71729975",2
"23582824",2
"56949517",2
"50905018",2
"15983966",2
"46943432",2
"9911463",2
"9826308",2
"16065773",2
"2742550",2
"52912189",2
"9908783",2
"3676137",2
"675434",2
"46907787",2
"57330099",2
"2946601",2
"16013152",2
"44237094",2
"71304818",2
"53495165",2
"11964036",2
"16736978",2
"5278396",2
"15953870",2
"11427553",2
"23635314",2
"11317348",2
"10322450",2
"6918837",2
"10410894",2
"46843906",2
"10090485",2
"11507802",2
"24901704",2
"1323703",2
"54765302",2
"9803433",2
"24856436",2
"24964624",2
"2842253",2
"2858523",2
"2113511",2
"3136844",2
"650361",2
"3689413",2
"44543605",2
"49766530",2
"135999136",2
"136664437",2
"137139966",2
"53301938",2
"3384730",2
"44487061",2
"135984461",2
"25161177",2
"10385095",2
"3825829",2
"6918878",2
"6610355",2
"3465537",2
"252682",2
"227681",2
"409805",2
"81146",2
"262093",1
"4096211",2
"9825149",2
"11977753",2
"46398810",2
"16038120",2
"4578",2
"135398516",2
"9868037",2
"135421197",2
"4705",2
"10231331",2
"3129",2
"6610216",2
"57519531",2
"25227462",2
"66577038",2
"11612883",2
"25154868",2
"46191454",2
"9884685",2
"6852167",2
"42611257",2
"24180719",2
"322968",2
"73707386",2
"73707371",2
"11983303",2
"71434048",2
"219104",2
"5335621",2
"66890843",2
"46215462",2
"11656518",2
"702558",2
"374536",1
"49867930",2
"46174525",2
"3854666",2
"4521392",2
"9967941",2
"9936388",2
"12001922",2
"4259181",2
"24779724",2
"1317464",2
"753704",2
"568763",2
"104842",2
"3025986",2
"24772860",2
"44241473",2
"53393127",2
"24180125",2
"984333",2
"9549297",2
"11657048",2
"46199207",2
"10427712",2
"16722836",2
"9907093",2
"9903786",2
"11455910",2
"46901937",2
"46224516",2
"25195348",2
"5494449",2
"10026128",2
"11222830",2
"44607530",2
"44607531",2
"49867926",2
"44632017",2
"11647372",2
"132971",1
"10184653",2
"24771867",2
"5287969",2
"6918328",2
"467801",2
"59274521",2
"21922507",2
"44593387",2
"57568978",2
"124933487",2
"5470400",1
"11719255",2
"9803572",2
"57734331",2
"163285907",2
"6450551",2
"9444",2
"6436223",1
"5702538",1
"53321987",1
"90656913",1
"72947",1
"129012189",1
"24870922",1
"5458921",1
"134694634",1
"117059119",1
"146018879",1
"166640169",1
"400769",1
"70700216",1
"24896135",1
"49827815",1
"133109022",1
"139058496",1
"6918638",2
"65628",2
"64971",1
"82146",1
"3476986",2
"5328940",2
"5287620",1
"5351204",1
"6364669",1
"24123450",1
"6436187",1
"71308166",1
"5362868",1
"133640201",1
"5477951",1
"5353446",1
"25102665",1
"72353",1
"657314",1
"7067352",1
"44634639",1
"133611967",1
"11234052",2
"25102847",2
"156414",2
"9933475",2
"5282054",1
"2708",2
"2749",2
"2756",2
"119182",2
"11626560",2
"5281321",1
"969516",1
"17759555",2
"2907",2
"5311281",2
"44462760",2
"135398738",2
"2942",2
"6914657",2
"3062316",2
"451668",2
"5743",1
"46926350",2
"31703",2
"11396600",1
"4261",2
"65064",1
"11214940",2
"24775005",2
"176870",2
"9840324",1
"36462",1
"107970",2
"3385",2
"446155",2
"1548972",2
"5353627",2
"3403",2
"42642645",2
"104741",2
"123631",2
