pubchem ID,polor_area
53325874,73.1
1714884,37.3
2130404,78.9
2126,66.4
25022340,111
11955716,67.2
11175137,40.7
16659841,104
51039095,91.5
44137675,94.5
16741245,112
11152667,125
25262965,93.1
11364421,103
156422,80.6
25150857,66
445091,79.3
445455,86.6
135440466,103
24785538,116
56649450,129
11625818,99.2
9952709,57.5
135411,57.5
9956119,115
375860,47.6
122327,56.8
54678924,158
5113032,58.9
132496,36.1
17755052,144
148198,82.3
448949,81.2
23582824,97.2
56949517,67.6
50905018,104
15983966,105
46943432,81.4
2742550,46.5
52912189,93.4
9908783,102
675434,25.2
46907787,97.6
44237094,81
11964036,103
5278396,89.4
15953870,106
11427553,61
23635314,63.7
6918837,77.2
10090485,86.7
11507802,63.9
24901704,141
9803433,79.8
24856436,101
24964624,83.6
650361,119
25161177,164
252682,138
262093,125
4096211,99.3
9825149,69.2
11977753,73.1
16038120,111
4578,89.7
135398516,131
9868037,91.5
135421197,68.2
4705,56.3
25227462,130
66577038,75.2
11612883,122
25154868,45.2
46191454,81.3
9884685,84.5
6852167,145
42611257,100
24180719,100
219104,79.3
46215462,97.8
11656518,80.6
49867930,87.3
3854666,107
4521392,103
9967941,67.4
24779724,99.1
753704,73.4
104842,100
3025986,134
24772860,110
53393127,100
9549297,114
10427712,144
16722836,117
9907093,57.2
9903786,126
11455910,132
46901937,78.5
46224516,62.8
5494449,127
10026128,62.4
49867926,149
11647372,81.4
132971,33.1
10184653,88.6
24771867,106
5287969,90.2
6450551,96
9444,141
6436223,135
400769,84.2
6918638,104
64971,57.5
82146,37.3
5328940,82.9
5287620,66.8
11234052,84.7
25102847,98.8
156414,88.6
9933475,72.5
5282054,72.7
2708,40.5
2749,40.5
2756,114
119182,119
11626560,78
969516,93.1
17759555,89.4
2907,41.6
5311281,95.9
44462760,148
135398738,99.7
6914657,62.3
3062316,135
451668,121
5743,94.8
46926350,91.2
31703,206
11396600,40.5
4261,106
65064,197
11214940,74.7
24775005,63.7
176870,74.7
9840324,48.1
36462,161
107970,66.5
3385,58.2
446155,82.7
42642645,111
104741,76.7
123631,68.7
60750,108
3503,156
441298,71.4
24821094,99.2
3690,41.6
5291,86.3
216468,139
5311037,76.9
55283,101
208908,115
9823820,116
11485656,95.8
11640390,89.3
3025944,118
53232,72.8
6438330,145
10074640,102
126941,211
5746,147
25062766,103
5281672,148
72376,129
3011155,149
9915743,112
4477,95.2
644241,97.6
135423438,102
216345,83.5
11404337,49.4
23725625,82.1
285033,124
439501,207
7251185,38.8
10113978,127
16720766,141
4788,98
637858,65.099
4915,53.2
4917,35
8515,45.8
24889392,134
11167602,92.4
6918736,129
25126798,83.2
10302451,90.4
10127622,88.4
9843750,98.7
11609586,52.7
135398744,118
24748573,75.1
54454,72.8
4369359,77
216239,92.4
10296883,94.2
51037431,37.8
44259,69.4
5329102,77.2
2746,84.2
11213558,129
2733526,12.5
3038522,92.3
6505803,166
5394,106
452548,189
5426,83.6
54686904,206
11494412,66.9
9911830,108
60700,103
15547703,125
11707110,102
444795,37.3
5566,35
107985,84.1
119607,94.6
3081361,59.5
11960529,83.8
10077130,77.5
5311,78.4
100016,103
24360,79.7
6253,129
44182295,116
216326,92.5
126565,88.6
176158,51.1
11667893,78.9
24776445,84.5
10077147,140
11327430,67
11624601,120
1401,114
9914412,97.8
5330286,103
9826528,90.8
9938202,86.2
46883536,128
60838,113
51371303,60.9
52918385,49.8
984170,87.6
9931954,56.9
24958200,72.9
16095342,156
9858940,60
56962336,151
25099184,89.4
135565082,84.2
16747683,98.2
25262792,92.7
58423153,101
49831044,101
2375,116
41867,206
11488320,88.6
51042438,86.1
24737642,120
135539077,108
51001932,119
57345410,151
24866313,123
3899,55.1
73010930,73.2
72201027,65.6
71522234,24.1
46926973,93.6
59472121,132
72200024,91.8
42623951,124
53469448,77
78243717,56.7
24753719,63.5
9936746,121
71268957,95.4
60167849,68.5
59473233,83.4
44462758,150
44631912,91.2
118693659,88.3
131634760,138
68740,153
4212,163
657237,140
5352062,193
397888,107
2332,49.9
11655119,65.3
35397514,87.3
16654980,89.6
11719003,90
46843057,101
25227436,120
54761306,116
52913813,71.1
71496458,87.6
24788740,81.6
56941241,66
91668541,129
46931953,116
68289010,91.6
68947304,92.3
16224745,86.1
446541,93.1
51000408,123
76285486,60.1
78357767,62.8
24905401,74.9
71271629,96.1
54685215,107
56962337,151
124886,160
864,87.9
12035,67.4
